State,Name,code
CT,"Bridgeport, Sikorsky Memorial Airport ",KBDR
CT,"Chester, Chester Airport ",KSNC
CT,"Danbury, Danbury Municipal Airport ",KDXR
CT,"Groton / New London, Groton / New London Airport ",KGON
CT,"Hartford, Hartford-Brainard Airport ",KHFD
CT,"Meriden, Meriden Markham Municipal Airport ",KMMK
CT,"New Haven, Tweed-New Haven Airport ",KHVN
CT,"Oxford, Waterbury-Oxford Airport ",KOXC
CT,"Willimantic, Windham Airport ",KIJD
CT,"Windsor Locks, Bradley International Airport ",KBDL
MA,"Beverly, Beverly Municipal Airport ",KBVY
MA,"Boston, Logan International Airport ",KBOS
MA,"Chatham, Chatham Municipal Airport ",KCQX
MA,Chicopee Falls / Westover Air Force Base ,KCEF
MA,East Milton ,KMQE
MA,"Fitchburg, Fitchburg Municipal Airport ",KFIT
MA,"Hyannis, Barnstable Municipal-Boardman Airport ",KHYA
MA,Laurence G Hanscom Field Airport ,KBED
MA,Lawrence Municipal Airport ,KLWM
MA,Marshfield Airport ,KGHG
MA,Marthas Vineyard Airport ,KMVY
MA,"Nantucket, Nantucket Memorial Airport ",KACK
MA,"New Bedford, New Bedford Regional Airport ",KEWB
MA,North Adams Harriman-and-West Airport ,KAQW
MA,"Norwood, Norwood Memorial Airport ",KOWD
MA,Orange Municipal Airport ,KORE
MA,Otis Air National Guard Base ,KFMH
MA,Pittsfield Municipal Airport ,KPSF
MA,"Plymouth, Plymouth Municipal Airport ",KPYM
MA,Provincetown Municipal Airport ,KPVC
MA,"Taunton, Taunton Municipal Airport ",KTAN
MA,"Westfield, Barnes Municipal Airport ",KBAF
MA,"Worcester, Worcester Regional Airport ",KORH
ME,Auburn-Lewiston ,KLEW
ME,"Augusta, Augusta State Airport ",KAUG
ME,"Bangor, Bangor International Airport ",KBGR
ME,"Bar Harbor, Hancock County-Bar Harbor Airport ",KBHB
ME,"Caribou, Caribou Municipal Airport ",KCAR
ME,Clayton Lake ,K40B
ME,"Frenchville, Northern Aroostook Regional Airport ",KFVE
ME,"Fryeburg, Eastern Slopes Regional Airport ",KIZG
ME,Greenville ,KGNR
ME,"Houlton, Houlton International Airport ",KHUL
ME,"Millinocket, Millinocket Municipal Airport ",KMLT
ME,"Portland, Portland International Jetport ",KPWM
ME,Presque Isle ,KPQI
ME,"Rockland, Knox County Regional Airport ",KRKD
ME,"Sanford, Sanford Regional Airport ",KSFM
ME,Steven A Bean Municipal Airport ,K8B0
ME,"Waterville, Waterville Robert LaFleur Airport ",KWVL
ME,Wiscasset Airport ,KIWI
NH,"Berlin, Berlin Municipal Airport ",KBML
NH,Concord Municipal Airport ,KCON
NH,Jaffrey Airport-Silver Ranch ,KAFN
NH,"Keene, Dillant-Hopkins Airport ",KEEN
NH,"Laconia, Laconia Municipal Airport ",KLCI
NH,Lebanon Municipal Airport ,KLEB
NH,Manchester Airport ,KMHT
NH,Mount Washington ,KMWN
NH,Nashua - Boire Field Airport ,KASH
NH,Pease Air Force Base / Portsmouth ,KPSM
NH,Plymouth Municipal Airport ,K1P1
NH,Rochester - Skyhaven Airport ,KDAW
NH,Whitefield - Mount Washington Regional Airport ,KHIE
NJ,"Andover, Aeroflex-Andover Airport ",K12N
NJ,"Atlantic City, Atlantic City International Airport ",KACY
NJ,Belmar-Farmingdale ,KBLM
